measurement_date,ndvi
2000-02-18,2605.728977143068
2000-03-05,2652.7421898298244
2000-03-21,2808.488028665045
2000-04-06,2901.391810553109
2000-04-22,3185.683806234534
2000-05-08,3323.3305472123147
2000-05-24,3295.6109903235015
2000-06-09,3362.7001688804676
2000-06-25,3602.5690126131835
2000-07-11,3611.138071688113
2000-07-27,3233.6247749520003
2000-08-12,3256.848931719657
2000-08-28,3161.825595817824
2000-09-13,3000.197536674128
2000-09-29,2931.977293929619
2000-10-15,2883.6543647193926
2000-10-31,3182.465436232919
2000-11-16,2916.635669444603
2000-12-02,2815.1024092894795
2000-12-18,2663.544831711327
2001-01-01,2707.9086807955155
2001-01-17,2981.1096865723866
2001-02-02,2755.2005687822407
2001-02-18,2825.0508391915864
2001-03-06,3011.2900628149173
2001-03-22,3036.137730788855
2001-04-07,3436.985206407205
2001-04-23,3594.3583157616017
2001-05-09,3737.3005305146125
2001-05-25,3651.08887416189
2001-06-10,3426.046010606754
2001-06-26,3437.2376183833585
2001-07-12,3505.174281804848
2001-07-28,3357.6033442604153
2001-08-13,3464.6945337345296
2001-08-29,3654.046925030869
2001-09-14,3614.666931860574
2001-09-30,3397.3183085619403
2001-10-16,3208.2543873235863
2001-11-01,3112.9277453190352
2001-11-17,3094.6003086858705
2001-12-03,2979.8753289749
2001-12-19,2905.7172697740857
2002-01-01,2794.2652132592475
2002-01-17,2635.1030797350177
2002-02-02,2702.2004221903508
2002-02-18,2619.33089619819
2002-03-06,2564.3435788703678
2002-03-22,2819.8697080700185
2002-04-07,2816.168282259295
2002-04-23,2961.600000292606
2002-05-09,3261.5598203531854
2002-05-25,3147.9575229402963
2002-06-10,3228.297382802812
2002-06-26,2779.76061698358
2002-07-12,3470.1413452075676
2002-07-28,3473.4033807587716
2002-08-13,3292.7233609888817
2002-08-29,2957.593384237541
2002-09-14,3529.6095211962875
2002-09-30,3458.3643930979174
2002-10-16,3466.179817547274
2002-11-01,3337.4600039986417
2002-11-17,3086.1230765782425
2002-12-03,3092.2050941951866
2002-12-19,2957.1519609287834
